iso3,country,year,uk_import_qty_t,log_uk_import_qty_t,bii,bii_loss,bio_source
HRV,Croatia,2013,13.0,2.6390573296152584,0.813385486602783,0.18661451339721702,historical
HRV,Croatia,2014,9.6,2.3608540011180215,0.812548696994781,0.18745130300521895,historical
HRV,Croatia,2015,17.4,2.91235066461494,0.811518847942352,0.18848115205764804,ssp2_projected
HRV,Croatia,2016,7.75,2.169053700369523,0.810628056526184,0.18937194347381603,ssp2_projected
HRV,Croatia,2017,14.15,2.7180005319553784,0.809654414653778,0.19034558534622203,ssp2_projected
HRV,Croatia,2018,41.93,3.7595708822364693,0.80871444940567,0.19128555059432995,ssp2_projected
HRV,Croatia,2019,53.23,3.993234260852969,0.80720978975296,0.19279021024704002,ssp2_projected
HRV,Croatia,2020,64.56,4.182965753875629,0.806440770626068,0.193559229373932,ssp2_projected
HUN,Hungary,2012,1.0,0.6931471805599453,0.579747140407562,0.42025285959243797,historical
HUN,Hungary,2013,1.0,0.6931471805599453,0.592244327068329,0.40775567293167103,historical
HUN,Hungary,2014,3.6,1.5260563034950494,0.599938333034515,0.40006166696548495,historical
HUN,Hungary,2015,2.7,1.308332819650179,0.607336223125458,0.392663776874542,ssp2_projected
HUN,Hungary,2016,1.64,0.9707789171582247,0.60699325799942,0.39300674200057995,ssp2_projected
HUN,Hungary,2017,3.5,1.5040773967762742,0.605165600776672,0.39483439922332797,ssp2_projected
HUN,Hungary,2018,2.1,1.1314021114911006,0.604781150817871,0.395218849182129,ssp2_projected
HUN,Hungary,2019,1.36,0.8586616190375187,0.603873550891876,0.396126449108124,ssp2_projected
HUN,Hungary,2020,1.95,1.0818051703517284,0.60284286737442,0.39715713262557995,ssp2_projected
IRL,Ireland,2010,42289.0,10.652305930466534,0.425106674432755,0.574893325567245,historical
IRL,Ireland,2011,45864.0,10.733457577943756,0.425497710704803,0.574502289295197,historical
IRL,Ireland,2012,46492.0,10.747057042609113,0.425847917795181,0.574152082204819,historical
IRL,Ireland,2013,31006.0,10.341968264428457,0.413232445716858,0.586767554283142,historical
IRL,Ireland,2014,34574.1,10.450889048791971,0.405861228704453,0.594138771295547,historical
IRL,Ireland,2015,41167.6,10.625431108842058,0.399384260177612,0.6006157398223879,ssp2_projected
IRL,Ireland,2016,37579.77,10.534247762379687,0.400050312280655,0.599949687719345,ssp2_projected
IRL,Ireland,2017,39764.75,10.590761268020616,0.400721937417984,0.599278062582016,ssp2_projected
IRL,Ireland,2018,35703.93,10.483044053471556,0.400525689125061,0.599474310874939,ssp2_projected
