scenario,bii,year,iso3,bii_loss
ssp4rcp6p0gcam,0.715234816074371,2045,ARG,0.284765183925629
ssp4rcp6p0gcam,0.761291742324829,2045,BRA,0.238708257675171
ssp4rcp6p0gcam,0.789438962936401,2045,ECU,0.21056103706359897
ssp4rcp6p0gcam,0.893349528312683,2045,PER,0.106650471687317
ssp4rcp6p0gcam,0.313604593276978,2045,URY,0.686395406723022
ssp4rcp6p0gcam,0.545398831367493,2045,GTM,0.454601168632507
ssp4rcp6p0gcam,0.344941467046738,2045,SLV,0.655058532953262
ssp4rcp6p0gcam,0.943997502326965,2045,BHS,0.056002497673035
ssp4rcp6p0gcam,0.777817070484161,2045,BTN,0.22218292951583896
ssp4rcp6p0gcam,0.810545206069946,2045,PAK,0.18945479393005404
ssp4rcp6p0gcam,0.691452264785767,2045,KHM,0.30854773521423295
ssp4rcp6p0gcam,0.855673730373383,2045,LAO,0.144326269626617
ssp4rcp6p0gcam,0.779728949069977,2045,MMR,0.22027105093002297
ssp4rcp6p0gcam,0.585685789585114,2045,PHL,0.41431421041488603
ssp4rcp6p0gcam,0.687428712844849,2045,AZE,0.31257128715515103
ssp4rcp6p0gcam,0.770927429199219,2045,GEO,0.22907257080078103
ssp4rcp6p0gcam,0.769056975841522,2045,YEM,0.230943024158478
ssp4rcp6p0gcam,0.636989295482635,2045,HUN,0.36301070451736495
ssp4rcp6p0gcam,0.758499443531036,2045,POL,0.24150055646896396
ssp4rcp6p0gcam,0.678682148456573,2045,SVK,0.32131785154342696
ssp4rcp6p0gcam,0.586733162403107,2045,UKR,0.413266837596893
ssp4rcp6p0gcam,0.55115020275116,2045,IMN,0.44884979724884
ssp4rcp6p0gcam,0.432734727859497,2045,IRL,0.5672652721405029
ssp4rcp6p0gcam,0.70564329624176,2045,LTU,0.29435670375823997
ssp4rcp6p0gcam,0.672878444194794,2045,CHE,0.32712155580520597
ssp4rcp6p0gcam,0.982927918434143,2046,DZA,0.017072081565857045
ssp4rcp6p0gcam,0.915616750717163,2046,ESH,0.08438324928283703
ssp4rcp6p0gcam,0.482902646064758,2046,CIV,0.5170973539352419
ssp4rcp6p0gcam,0.451963424682617,2046,TGO,0.548036575317383
ssp4rcp6p0gcam,0.402424246072769,2046,BDI,0.5975757539272311
ssp4rcp6p0gcam,0.615307748317719,2046,COM,0.38469225168228105
ssp4rcp6p0gcam,0.599597156047821,2046,MWI,0.40040284395217896
ssp4rcp6p0gcam,0.795648336410522,2046,ZMB,0.20435166358947798
ssp4rcp6p0gcam,0.740412592887878,2046,CMR,0.259587407112122
ssp4rcp6p0gcam,0.834664046764374,2046,COD,0.165335953235626
ssp4rcp6p0gcam,0.785420954227448,2046,TCD,0.21457904577255205
ssp4rcp6p0gcam,0.725430965423584,2046,BWA,0.274569034576416
ssp4rcp6p0gcam,0.730114936828613,2046,NAM,0.26988506317138705
ssp4rcp6p0gcam,0.626503527164459,2046,SWZ,0.373496472835541
ssp5rcp8p5remindmagpie,0.720531225204468,2015,KHM,0.279468774795532
ssp4rcp6p0gcam,0.690906941890717,2046,AUS,0.309093058109283
ssp5rcp8p5remindmagpie,0.802768051624298,2015,MMR,0.19723194837570202
ssp5rcp8p5remindmagpie,0.610881328582764,2015,PHL,0.389118671417236
ssp5rcp8p5remindmagpie,0.737979173660278,2015,KGZ,0.262020826339722
ssp4rcp6p0gcam,0.60340803861618,2046,NZL,0.39659196138382
ssp5rcp8p5remindmagpie,0.710180163383484,2015,AZE,0.289819836616516
ssp4rcp6p0gcam,0.947666943073273,2046,SLB,0.05233305692672696
ssp5rcp8p5remindmagpie,1.0,2015,BHR,0.0
ssp5rcp8p5remindmagpie,1.0,2015,OMN,0.0
ssp5rcp8p5remindmagpie,0.664197981357574,2015,ALB,0.335802018642426
ssp5rcp8p5remindmagpie,0.702802002429962,2015,ESP,0.29719799757003795
ssp5rcp8p5remindmagpie,0.669358134269714,2015,MKD,0.330641865730286
ssp5rcp8p5remindmagpie,0.579853773117065,2015,SMR,0.420146226882935
ssp4rcp6p0gcam,0.911260724067688,2046,GRL,0.08873927593231201
ssp5rcp8p5remindmagpie,0.616223514080048,2015,CZE,0.38377648591995195
ssp4rcp6p0gcam,0.860476076602936,2046,CHL,0.139523923397064
ssp5rcp8p5remindmagpie,0.509435772895813,2015,MDA,0.490564227104187
ssp4rcp6p0gcam,0.893221199512482,2046,PER,0.10677880048751798
ssp5rcp8p5remindmagpie,0.679366171360016,2015,SVK,0.320633828639984
ssp4rcp6p0gcam,0.615893244743347,2046,NIC,0.38410675525665305
ssp5rcp8p5remindmagpie,0.400087535381317,2015,IRL,0.599912464618683
ssp4rcp6p0gcam,0.948379695415497,2046,CUW,0.05162030458450295
ssp5rcp8p5remindmagpie,0.623939335346222,2015,FRA,0.37606066465377797
ssp4rcp6p0gcam,0.961252272129059,2046,GRD,0.03874772787094105
ssp4rcp6p0gcam,0.430469900369644,2046,HTI,0.5695300996303561
ssp4rcp6p0gcam,0.750670254230499,2046,HKG,0.24932974576950095
