iso3,year,bii,crops,highintensityag,hpd,pastureland,qualitynatural,urbanextent
LBR,2012,0.749775171279907,0.0854786187410355,0.0284431055188179,29.5990257263184,0.207908630371094,0.47252294421196,0.0068328310735523
LBR,2013,0.74769651889801,0.0897384062409401,0.0289345178753138,30.5429706573486,0.207937344908714,0.469034343957901,0.0062786829657852
LBR,2014,0.7449631690979,0.0938187837600708,0.0298158284276724,31.6761169433594,0.207987651228905,0.465054988861084,0.0065173525363206
LBY,1970,1.0,0.0113867055624723,0.0073159406892955,1.14474785327911,0.0660343021154404,0.90015971660614,0.0001465826353523
LBY,1980,0.998494625091553,0.0117122149094939,0.0091391904279589,1.64594388008118,0.0779468715190887,0.878593444824219,0.0001954461768036
LBY,1990,0.995540201663971,0.0121393091976643,0.0097974361851811,2.20867824554443,0.0797199234366417,0.865176677703857,0.0002474693465046
LBY,2000,0.993275105953217,0.0121237561106682,0.0098992912098765,2.55925059318542,0.0797851532697678,0.851462960243225,0.0003228955029044
LBY,2001,0.993044674396515,0.012124259956181,0.0099122105166316,2.60287642478943,0.079787589609623,0.849922239780426,0.0003327676386106
LBY,2002,0.992811799049377,0.0121252397075295,0.0099257873371243,2.64623022079468,0.0798099935054779,0.848384201526642,0.0003429621865507
LBY,2003,0.99259626865387,0.0121262865141034,0.009937317110598,2.68897104263306,0.079810231924057,0.846854984760284,0.0003534856368787
LBY,2004,0.992556571960449,0.0117627559229732,0.0098229022696614,2.73136925697327,0.0798131301999092,0.84535425901413,0.0003643295203801
LBY,2005,0.992350518703461,0.0117631712928414,0.0098328627645969,2.77335453033447,0.079817108809948,0.843812167644501,0.0003757546655833
LBY,2006,0.99224990606308,0.0115672778338194,0.0097723277285695,2.81508588790894,0.0798117592930794,0.842329621315002,0.0003872691013384
LBY,2007,0.992052137851715,0.0115678468719125,0.0097809098660945,2.85639047622681,0.0798128843307495,0.84080982208252,0.0003990951518062
LBY,2008,0.99187046289444,0.0115689905360341,0.009789097122848,2.89734625816345,0.0798107162117958,0.839314877986908,0.0004112210008315
LBY,2009,0.99169921875,0.0115693239495158,0.0097962236031889,2.93796300888062,0.0798118188977242,0.837843835353851,0.0004236349777784
LBY,2010,0.991522371768951,0.0115773063153028,0.0098061375319957,2.97817254066467,0.079811729490757,0.836341083049774,0.0004346898640505
LBY,2011,0.991358578205109,0.0115777533501387,0.009810228832066,3.01605772972107,0.0798106044530869,0.834896445274353,0.0004474992747418
LBY,2012,0.991176903247833,0.0116006564348936,0.0098217613995075,3.0535147190094,0.0798098221421242,0.833449959754944,0.0004600553074851
LBY,2013,0.990988492965698,0.0115999011322856,0.0097658494487404,3.0935206413269,0.0798100158572197,0.832066714763641,0.0004714294918812
LBY,2014,0.99087005853653,0.0116101074963808,0.0097952326759696,3.14509224891663,0.0798091292381287,0.830644965171814,0.0004842653870582
LCA,1970,,0.0820371881127357,,,0.0132074868306518,,2.1586723960354e-05
LCA,1980,,0.0878477692604065,,,0.0132074151188135,,2.1586723960354e-05
LCA,1990,,0.0936304032802582,,,0.0132073443382978,,2.1586723960354e-05
LCA,2000,,0.0730441585183144,,,0.0057231518439948,,2.17233373405179e-05
LCA,2001,,0.0626344084739685,,,0.0057231490500271,,5.30846082256176e-05
LCA,2002,,0.0574481301009655,,,0.0052829035557806,,8.40460998006165e-05
LCA,2003,,0.0574932247400284,,,0.0052829007618129,,0.0001146831709775
LCA,2004,,0.0575384609401226,,,0.0048426585271954,,0.0001450702693546
LCA,2005,,0.0523419417440891,,,0.0044024125672876,,0.0001752810931066
LCA,2006,,0.0576294288039207,,,0.0035219283308833,,0.0002053886855719
LCA,2007,,0.0524277463555336,,,0.0026414445601403,,0.0002354656171519
LCA,2008,,0.0524708665907383,,,0.0026414433959871,,0.0002655841817613
LCA,2009,,0.0525141097605228,,,0.0026414419990032,,0.0002958164841402
LCA,2010,,0.0525575131177902,,,0.0026414403691887,,0.000326234701788
LCA,2011,,0.0525575131177902,,,0.0026414403691887,,0.0003323549753986
LCA,2012,,0.0525575131177902,,,0.0026414403691887,,0.0003385835734661
LCA,2013,,0.0525575131177902,,,0.0026414403691887,,0.0003449232899583
LCA,2014,,0.0525575131177902,,,0.0026414403691887,,0.0003513768606353
LIE,1970,0.567488610744476,0.150673538446426,0.24645134806633,65.7080307006836,0.345678240060806,0.297231107950211,0.009515349753201
LIE,1980,0.590184092521667,0.151412963867188,0.23471611738205,72.775764465332,0.318654090166092,0.323290169239044,0.0103844637051225
LIE,1990,0.611286461353302,0.147193804383278,0.227117016911507,79.3590698242188,0.311166912317276,0.394564390182495,0.0111973639577627
LIE,2000,0.631757438182831,0.148458540439606,0.216601893305779,85.5721740722656,0.286529988050461,0.422020524740219,0.011615501716733
LIE,2001,0.634367942810059,0.146335929632187,0.21426360309124,86.0998840332031,0.286187946796417,0.423936128616333,0.0117722321301699
LIE,2002,0.635009050369263,0.146172642707825,0.213990345597267,86.6266632080078,0.286116272211075,0.425862103700638,0.0119304675608873
LIE,2003,0.635416448116302,0.146222278475761,0.213940411806107,87.1524124145508,0.28608050942421,0.42767745256424,0.0120902145281434
LIE,2004,0.643114387989044,0.146258935332298,0.209273561835289,87.6772232055664,0.275066882371902,0.429603815078735,0.0121977599337697
LIE,2005,0.643550932407379,0.146434769034386,0.209311261773109,88.2010498046875,0.274962693452835,0.431467622518539,0.012263348326087
LIE,2006,0.647040486335754,0.1448023468256,0.20671571791172,88.7238998413086,0.272803843021393,0.43345120549202,0.0123297022655606
LIE,2007,0.647572159767151,0.144868060946465,0.206643596291542,89.2457733154297,0.272699624300003,0.435378342866898,0.0124007714912295
LIE,2008,0.652430832386017,0.144575119018555,0.203822359442711,89.7666702270508,0.266639947891235,0.437398463487625,0.0124718388542533
