iso3,country,year,export_qty_t,log_export_qty_t,bii,crops,highintensityag,hpd,pastureland,qualitynatural,urbanextent
ITA,Italy,2011,162.0,5.093750200806762,0.646504461765289,0.291581779718399,0.172644093632698,174.891906738281,0.14215587079525,0.256741553544998,0.0254033450037241
ITA,Italy,2012,60.0,4.110873864173311,0.646705090999603,0.301621198654175,0.178480416536331,176.378173828125,0.128882169723511,0.257476300001144,0.0257117003202438
ITA,Italy,2013,10.0,2.3978952727983707,0.650798320770264,0.291193276643753,0.171059086918831,177.272521972656,0.134954854846001,0.257622957229614,0.0257820188999176
ITA,Italy,2014,18.9,2.990719731730447,0.652082204818726,0.291988462209702,0.171084135770798,178.786163330078,0.131760373711586,0.258605122566223,0.0260952804237604
JAM,Jamaica,2012,1.0,0.6931471805599453,0.6971794962883,0.153873458504677,0.153289347887039,259.426452636719,0.155415251851082,0.329550206661224,0.0256064590066671
JAM,Jamaica,2013,2.0,1.0986122886681098,0.69722044467926,0.153873458504677,0.153813228011131,256.331787109375,0.155429288744926,0.330056726932526,0.0253701899200678
KOR,Republic of Korea,2013,2.0,1.0986122886681098,0.84619015455246,0.1569734364748,0.11372697353363,390.550598144531,0.0043424987234175,0.486223489046097,0.0236277487128973
LBN,Lebanon,2012,1.0,0.6931471805599453,0.527049660682678,0.303522706031799,0.153116226196289,279.224487304688,0.345241785049438,0.180848062038422,0.0579076372087002
LBN,Lebanon,2014,3.92,1.5933085305042167,0.539138555526733,0.288235872983932,0.146401688456535,267.214141845703,0.344577789306641,0.173741981387138,0.0563979260623455
LTU,Lithuania,2010,1.0,0.6931471805599453,0.694119572639465,0.331909090280533,0.288851261138916,65.92431640625,0.0980826616287231,0.361082136631012,0.0083717424422502
LTU,Lithuania,2011,2.0,1.0986122886681098,0.68966817855835,0.340305179357529,0.295488774776459,65.6941223144531,0.0946735665202141,0.359470546245575,0.008399436250329
LTU,Lithuania,2012,3.0,1.3862943611198906,0.6845543384552,0.351325929164886,0.304416984319687,65.4635696411133,0.0889662578701973,0.357647567987442,0.0084288660436868
LTU,Lithuania,2013,2.0,1.0986122886681098,0.677380979061127,0.368102788925171,0.318473696708679,65.5834426879883,0.0793729647994041,0.354933112859726,0.0084594190120697
LTU,Lithuania,2014,1.3,0.832909122935104,0.671540558338165,0.376533716917038,0.32632315158844,65.3161163330078,0.0781644657254219,0.351933866739273,0.0084906453266739
LVA,Latvia,2010,1.0,0.6931471805599453,0.862397253513336,0.181359142065048,0.1331487596035,17.2847328186035,0.0934152454137802,0.65953665971756,0.0056293122470378
LVA,Latvia,2011,3.0,1.3862943611198906,0.861587703227997,0.179510742425919,0.132132455706596,17.1693134307861,0.0970276519656181,0.658001601696014,0.0056387558579444
LVA,Latvia,2012,1.0,0.6931471805599453,0.859036326408386,0.182547956705093,0.133760914206505,17.0541114807129,0.0977354645729065,0.65460079908371,0.0056478809565305
LVA,Latvia,2013,1.0,0.6931471805599453,0.859663546085358,0.182233870029449,0.133083805441856,17.0015888214111,0.0965684503316879,0.654601395130157,0.005651076324284
LVA,Latvia,2014,2.65,1.2947271675944,0.859088122844696,0.182793796062469,0.133238077163696,16.9049301147461,0.0968706235289574,0.653961062431335,0.0056592239998281
NAM,Namibia,2014,0.02,0.019802627296179712,0.769852697849274,0.0108533091843128,0.0195623356848955,2.40165710449219,0.464133679866791,0.467235267162323,0.0004102575185243
NLD,Netherlands (Kingdom of the),2010,529.0,6.272877006546167,0.591717660427094,0.248688340187073,0.35372605919838,459.80859375,0.20138780772686,0.20762512087822,0.0830063223838806
NLD,Netherlands (Kingdom of the),2011,4906.0,8.498418036089904,0.593866109848022,0.245078071951866,0.350443810224533,461.518920898438,0.202010586857796,0.209320709109306,0.083624579012394
